ID,Group,Credit,Title,Prof,Time,Description,URL
28037,1,3,ترمودینامیک پیشرفته,محمدحسن سعیدی,یک‌شنبه و سه‌شنبه 10:30 تا 12,,vc.sharif.edu/saman
28043,1,3,انتقال حرارت جابه‌جایی,مهرداد تقی زاده منظری,شنبه و دوشنبه 15 تا 16:30,,vc.sharif.edu/mtmanzari
28045,1,3,کنترل اتوماتیک پیشرفته ,آریا الستی,یک‌شنبه و سه‌شنبه 13:30 تا 15,,vc.sharif.edu/aalasti
28045,2,3,کنترل اتوماتیک پیشرفته ,حسن سالاریه,یک‌شنبه و سه‌شنبه 7:30 تا 9,,vc.sharif.edu/salarieh
28046,1,3,دینامیک پیشرفته,حسن ظهور,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/zohoor
28046,2,3,دینامیک پیشرفته,حسین نجات پیش کناری,یک‌شنبه و سه‌شنبه 15 تا 16:30,,vc.sharif.edu/nejat
28052,1,3,طراحی مکانیزم پیشرفته ,حسن صیادی,شنبه و دوشنبه 9 تا 10:30,,vc.sharif.edu/sayyaadi
28053,1,3,ارتعاشات سیستم‌های ممتد ,محمدتقی احمدیان,یک‌شنبه و سه‌شنبه 9 تا 10:30,,cw.sharif.edu
28056,1,3,تئوری لایه مرزی ,حسین افشین,یک‌شنبه و سه‌شنبه 7:30 تا 9,,vc.sharif.edu/afshin
28064,1,3,پلاستیسیته,جمال ارغوانی هادی,شنبه و دوشنبه 7:30 تا 9,,vc.sharif.edu/jamal.arghavani
28065,1,3,استاتیک و مقاومت مصالح ,محمدتقی امیدوارطهرانی,شنبه و دوشنبه 9 تا 10:30,مخصوص دانشجویان صنایع,cw.sharif.edu
28069,1,3,دینامیک سیالات پیشرفته,بهار دهقانی فیروزآبادی,شنبه و دوشنبه 10:30 تا 12,,vc.sharif.edu/firoozabadi
28089,1,3,توربولانس ,بیژن فرهانیه,یک‌شنبه و سه‌شنبه 10:30 تا 12,,cw.sharif.edu
28113,1,3,انتقال حرارت ۱ ,مهرداد تقی زاده منظری,شنبه و دوشنبه 9 تا 10:30,,vc.sharif.edu/mtmanzari
28113,2,3,انتقال حرارت ۱ ,محمدعلی بیجارچی,یک‌شنبه و سه‌شنبه 7:30 تا 9,,cw.sharif.edu
28121,1,3,انتقال حرارت ۲ ,محمدبهشاد شفیعی,شنبه و دوشنبه 7:30 تا 9,,
28161,1,3,ترمودینامیک ۱,علی موسوی,یک‌شنبه و سه‌شنبه 15 تا 16:30,,vc.sharif.edu/moosavi
28162,1,3,ترمودینامیک ۲,سیامک کاظم زاده حنانی,یک‌شنبه و سه‌شنبه 9 تا 10:30,برای دانشجویان مکانیک همزمان با آز ترمودینامیک اخذ شود امکان حذف w بدون حذف آزمایشگاه مربوطه وجود ندارد.,vc.sharif.edu/hannani
28162,2,3,ترمودینامیک ۲,محمدحسن سعیدی,یک‌شنبه و سه‌شنبه 9 تا 10:30,برای دانشجویان مکانیک همزمان با آز ترمودینامیک اخذ شود امکان حذف w بدون حذف آزمایشگاه مربوطه وجود ندارد.,vc.sharif.edu/saman
28172,1,3,طراحی مبدل‌های حرارتی ,حسین افشین,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/afshin
28185,1,3,مبانی مهندسی زیستی,امیر شاملو,یک‌شنبه و سه‌شنبه 13:30 تا 15,,vc.sharif.edu/shamloo
28188,1,3,مبانی و کاربرد آزمایشگاه بر تراشه,مجتبی تقی پور,شنبه و دوشنبه 13:30 تا 15,,vc.sharif.edu/mtaghipoor
28192,1,3,ریاضیات پیشرفته ۲,امیر شاملو,یک‌شنبه و سه‌شنبه 10:30 تا 12,,vc.sharif.edu/shamloo
28195,1,3,هیدرودینامیک پیشرفته ,مهدی خراسانچی,شنبه و دوشنبه 10:30 تا 12,,vc.sharif.edu/khorasanchi
28197,1,2,روش‌های اندازه‌گیری اپتیکی در مکانیک سیالات,محمدبهشاد شفیعی,شنبه و دوشنبه 10:30 تا 12,,cw.sharif.edu
28198,1,1,آز روش‌های اندازه‌گیری اپتیکی در مکانیک سیالات,محمدبهشاد شفیعی,چهارشنبه 10 تا 12,,
28198,2,1,آز روش‌های اندازه‌گیری اپتیکی در مکانیک سیالات,محمدبهشاد شفیعی,چهارشنبه 8 تا 10,,
28218,1,3,مواد مرکب,فمیدا فلاح رجب زاده,یک‌شنبه و سه‌شنبه 13:30 تا 15,,cw.sharif.edu
28233,1,1,آزمایشگاه الکترونیک کاربردی,حسین نجات پیش کناری,چهارشنبه 8 تا 10,مخصوص کارشناسی,
28237,1,2,بازرسی تجهیزات صنعتی,محسن اصغری,شنبه 13 تا 15,,vc.sharif.edu/asghari
28239,1,3,انرژی های تجدید پذیر,محمدعلی بیجارچی,یک‌شنبه و سه‌شنبه 10:30 تا 12,,cw.sharif.edu
28255,1,3,مبانی طراحی کنترل اتوماتیک,آریا الستی,یک‌شنبه و سه‌شنبه 10:30 تا 12,,vc.sharif.edu/aalasti
